date,datatype,station,value,temp_f,year,month,day
1999-01-06,TAVG,GHCND:USW00094728,26,2.6,1999,1,6
1999-01-07,TAVG,GHCND:USW00094728,29,2.9,1999,1,7
1999-01-08,TAVG,GHCND:USW00094728,30,3.0,1999,1,8
1999-01-09,TAVG,GHCND:USW00094728,36,3.6,1999,1,9
1999-01-10,TAVG,GHCND:USW00094728,26,2.6,1999,1,10
1999-01-11,TAVG,GHCND:USW00094728,23,2.3,1999,1,11
1999-01-12,TAVG,GHCND:USW00094728,38,3.8,1999,1,12
1999-01-13,TAVG,GHCND:USW00094728,36,3.6,1999,1,13
1999-01-14,TAVG,GHCND:USW00094728,19,1.9,1999,1,14
1999-01-15,TAVG,GHCND:USW00094728,30,3.0,1999,1,15
1999-01-16,TAVG,GHCND:USW00094728,34,3.4,1999,1,16
1999-01-17,TAVG,GHCND:USW00094728,46,4.6,1999,1,17
1999-01-18,TAVG,GHCND:USW00094728,47,4.7,1999,1,18
1999-01-19,TAVG,GHCND:USW00094728,44,4.4,1999,1,19
1999-01-20,TAVG,GHCND:USW00094728,42,4.2,1999,1,20
1999-01-21,TAVG,GHCND:USW00094728,41,4.1,1999,1,21
1999-01-22,TAVG,GHCND:USW00094728,41,4.1,1999,1,22
1999-01-23,TAVG,GHCND:USW00094728,48,4.8,1999,1,23
1999-01-24,TAVG,GHCND:USW00094728,51,5.1,1999,1,24
1999-01-25,TAVG,GHCND:USW00094728,38,3.8,1999,1,25
1999-01-26,TAVG,GHCND:USW00094728,37,3.7,1999,1,26
1999-01-27,TAVG,GHCND:USW00094728,42,4.2,1999,1,27
1999-01-28,TAVG,GHCND:USW00094728,40,4.0,1999,1,28
1999-01-29,TAVG,GHCND:USW00094728,35,3.5,1999,1,29
1999-01-30,TAVG,GHCND:USW00094728,32,3.2,1999,1,30
1999-01-31,TAVG,GHCND:USW00094728,25,2.5,1999,1,31
1999-02-01,TAVG,GHCND:USW00094728,35,3.5,1999,2,1
1999-02-02,TAVG,GHCND:USW00094728,48,4.8,1999,2,2
1999-02-03,TAVG,GHCND:USW00094728,51,5.1,1999,2,3
1999-02-04,TAVG,GHCND:USW00094728,45,4.5,1999,2,4
1999-02-05,TAVG,GHCND:USW00094728,41,4.1,1999,2,5
1999-02-06,TAVG,GHCND:USW00094728,40,4.0,1999,2,6
1999-02-07,TAVG,GHCND:USW00094728,40,4.0,1999,2,7
1999-02-08,TAVG,GHCND:USW00094728,36,3.6,1999,2,8
1999-02-09,TAVG,GHCND:USW00094728,39,3.9,1999,2,9
1999-02-10,TAVG,GHCND:USW00094728,48,4.8,1999,2,10
1999-02-11,TAVG,GHCND:USW00094728,46,4.6,1999,2,11
1999-02-12,TAVG,GHCND:USW00094728,51,5.1,1999,2,12
1999-02-13,TAVG,GHCND:USW00094728,37,3.7,1999,2,13
1999-02-15,TAVG,GHCND:USW00094728,36,3.6,1999,2,15
1999-02-18,TAVG,GHCND:USW00094728,41,4.1,1999,2,18
1999-02-19,TAVG,GHCND:USW00094728,38,3.8,1999,2,19
1999-02-20,TAVG,GHCND:USW00094728,36,3.6,1999,2,20
1999-02-21,TAVG,GHCND:USW00094728,31,3.1,1999,2,21
1999-02-22,TAVG,GHCND:USW00094728,22,2.2,1999,2,22
1999-02-23,TAVG,GHCND:USW00094728,22,2.2,1999,2,23
1999-02-24,TAVG,GHCND:USW00094728,31,3.1,1999,2,24
1999-02-25,TAVG,GHCND:USW00094728,34,3.4,1999,2,25
1999-02-26,TAVG,GHCND:USW00094728,39,3.9,1999,2,26
1999-02-27,TAVG,GHCND:USW00094728,42,4.2,1999,2,27
1999-02-28,TAVG,GHCND:USW00094728,46,4.6,1999,2,28
1999-03-01,TAVG,GHCND:USW00094728,42,4.2,1999,3,1
1999-03-02,TAVG,GHCND:USW00094728,42,4.2,1999,3,2
1999-03-03,TAVG,GHCND:USW00094728,49,4.9,1999,3,3
1999-03-04,TAVG,GHCND:USW00094728,43,4.3,1999,3,4
1999-03-05,TAVG,GHCND:USW00094728,36,3.6,1999,3,5
1999-03-06,TAVG,GHCND:USW00094728,42,4.2,1999,3,6
1999-03-07,TAVG,GHCND:USW00094728,30,3.0,1999,3,7
1999-03-08,TAVG,GHCND:USW00094728,26,2.6,1999,3,8
1999-03-09,TAVG,GHCND:USW00094728,28,2.8,1999,3,9
1999-03-10,TAVG,GHCND:USW00094728,35,3.5,1999,3,10
1999-03-11,TAVG,GHCND:USW00094728,33,3.3,1999,3,11
1999-03-12,TAVG,GHCND:USW00094728,32,3.2,1999,3,12
1999-03-13,TAVG,GHCND:USW00094728,39,3.9,1999,3,13
1999-03-14,TAVG,GHCND:USW00094728,38,3.8,1999,3,14
1999-03-15,TAVG,GHCND:USW00094728,37,3.7,1999,3,15
1999-03-16,TAVG,GHCND:USW00094728,41,4.1,1999,3,16
1999-03-17,TAVG,GHCND:USW00094728,54,5.4,1999,3,17
